time,irradiance,temperature,pv_voltage,pv_current,pv_power,duty_cycle,out_voltage,out_current,out_power,mpp_voltage,mpp_current,mpp_power,tracking_error,tracking_efficiency,converter_efficiency,converter_loss
0.0,1000.0,25.0,43.933362923242946,8.347338954068292,366.72667171240545,0.505,29.01359451320097,1.4506797256600485,42.089433328822274,40.98631628382971,9.767309272236757,400.32602707387827,33.59935536147282,91.60700202106214,0.11477058140409724,16.24817160400257
0.001,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,48.23562690904325,2.4117813454521624,116.33378516542085,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.3133372430309184,16.547110474251753
0.002,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,61.0503151729381,3.052515758646905,186.35704913575378,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.501940205182382,16.547110474251753
0.003,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,69.59344068220133,3.4796720341100666,242.16234929935376,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.6522480360065165,16.547110474251753
0.004,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,75.28885768837682,3.764442884418841,283.4206046010329,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.7633743777662323,16.547110474251753
0.005,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,79.08580235916048,3.954290117958024,312.7282067396097,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.8423124372550618,16.547110474251753
0.006,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,81.61709880634959,4.080854940317479,333.0675408782716,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.8970950687582899,16.547110474251753
0.007,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,83.30462977114232,4.165231488557116,346.98306706535453,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.9345756046540752,16.547110474251753
0.008,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,84.42965041433749,4.221482520716874,356.4182934543619,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.9599887537225101,16.547110474251753
0.009000000000000001,1000.0,25.0,43.76282154663484,8.483762974618738,371.2734051021878,0.505,85.17966417646758,4.258983208823379,362.77875946078973,40.98631628382971,9.767309272236757,400.32602707387827,29.052621971690485,92.74275964916741,0.9771202420516492,16.547110474251753
